"a0","name","category","developer","rating"
"a89","Mountain 4x4 Climb","Racing","Silevel Games","3.8"
"a90","Drag Racing","Racing","Creative Mobile","4.4"
"a91","Beach Buggy Blitz","Racing","Vector Unit","4.2"
"a92","Asphalt Nitro","Racing","Gameloft","4.4"
"a93","Nitro Nation Online","Racing","Creative Mobile","4.4"
"a94","Bike Race Free Motorcycle Game","Racing","Top Free Games.","4.5"
"a95","Cut the Rope 2","Puzzle","ZeptoLab","4.3"
"a96","FarmVille: Harvest Swap","Puzzle","Zynga","4.4"
"a97","\u53e3\u888b\u4e09\u570b","Strategy","Morlia Games","3.9"
"a98","Zgirls","Strategy","Star Ring Game Limited","4.2"
"a99","Pocket Troops","Strategy","Heyworks Inc.","4.6"
"a100","World at War: WW2 Strategy MMO","Strategy","Erepublik Labs","4.3"
"a101","Switch the Box","Strategy","Play365","4.3"
"a102","The Walking Dead No Man's Land","Strategy","Next Games Oy","4.5"
"a103","Free Heroes 2","Strategy","Gerhard Stein","4.1"
"a104","Primal Legends","Strategy","Kobojo","4.5"
"a105","Megapolis","Strategy","Social Quantum Ltd","4.3"
"a106","Citadels","Strategy","Webgames LLC","4.1"
"a107","Clash Royale","Strategy","Supercell","4.5"
"a108","Vlogger Go Viral - Tuber Game","Strategy","Tapps Games","4.8"
"a109","Bloons TD Battles","Strategy","ninja kiwi","4.4"
"a110","Brutal Age: Horde Invasion","Strategy","tap4fun","4.4"
"a111","Tap Titans","Role Playing","Game Hive Corporation","4.7"
"a112","Overlords: War for Throne","Strategy","Wargaming Group","4.4"
"a113","Chaos Legends","Role Playing","Snail Games USA Inc","4.0"
"a114","Gods of Olympus","Strategy","Aegis Interactive, LLC","4.6"
"a115","King of Rebirth: Undead Age","Strategy","Reality Squared Games","4.1"
"a116","Battle Camp - Monster Catching","Role Playing","WRKSHP","4.1"
"a117","\uac80\uacfc\ub9c8\ubc95 for Kakao","Role Playing","Longtu Korea Inc.","4.0"
"a118","Tuy\u1ec7t \u0110\u1ea1i Song Ki\u00eau 3D","Role Playing","Vmobile","4.2"
"a119","Tap Titans 2","Role Playing","Game Hive Corporation","4.8"
"a120","The Greedy Cave","Role Playing","Avalon-Games","4.2"
"a121","\u0644\u0639\u0628\u0629 \u0643\u0644\u0645\u0629 \u0627\u0644\u0633\u0631 : \u0627\u0644\u062c\u0632\u0621 \u0627\u0644\u062b\u0627\u0646\u064a","Word","Zytoona","4.7"
"a122","\u00c7ark\u0131felek (T\u00fcrk\u00e7e)","Word","Betis","4.1"
"a123","HIT","Role Playing","NEXON Company","4.4"
"a124","Walking Dead: Road to Survival","Role Playing","Scopely","4.1"
"a125","Hyper Heroes","Role Playing","90KM Limited","4.0"
"a126","PowerVocab Word Game","Educational","Trymph Inc.","3.9"
"a127","Sz\u00f3keres\u0151","Word","Sz\u00f3keres\u0151","4.3"
"a128","\u0641\u0637\u062d\u0644 \u0627\u0644\u0639\u0631\u0628 - \u0644\u0639\u0628\u0629 \u0645\u0639\u0644\u0648\u0645\u0627\u062a \u0639\u0627\u0645\u0629","Word","Finjan Apps","4.7"
"a129","Racing Rush","Racing","AR SportsGames","4.0"
"a130","Truck Driver Extreme 3D","Racing","GameDivision","3.9"
"a131","CSR Classics","Racing","NaturalMotionGames Ltd","4.5"
"a132","Dubai Drift 2","Racing","Zero Four LLC","4.1"
"a133","Road Drivers: Legacy","Racing","Vart Dader","4.2"
"a134","\u0644\u0639\u0628\u0629 \u0643\u0644\u0645\u0629 \u0627\u0644\u0633\u0631 - \u0648\u0635\u0644\u0627\u062a","Word","games_appstore","4.4"
"a135","Need for Racing: New Speed Car","Racing","ThunderBull Entertainment","3.9"
"a136","Dirt Xtreme","Racing","Deemedya INC","4.4"
"a137","Monster Truck Driver 3D","Racing","GameDivision","4.0"
"a138","Racing on Bike Free","Racing","Racing Games Android","3.9"
"a139","Traffic Tour","Racing","Wolves Interactive","4.4"
"a140","Real Speed Car Racing","Racing","Mathis Rane","4.0"
"a141","Army Truck Driver : Offroad","Racing","Racing Games Android","3.8"
"a142","Pixel Car Racer","Racing","Studio Furukawa","4.6"
"a143","GT Racing 2: The Real Car Exp","Racing","Gameloft","4.3"
"a144","CarX Drift Racing","Racing","CarX Technologies","4.5"
"a145","Vikings: War of Clans","Strategy","Plarium LLC","4.4"
"a146","Farms & Castles","Casual","SQUARE ENIX Ltd","4.0"
"a147","Enigmatis - Hidden Object Game","Casual","Big Fish Games","4.3"
"a148","Word Jungle: Spelling Puzzles","Word","HI STUDIO LIMITED","4.2"
"a149","Word Search","Word","Melimots","4.2"
"a150","Hill Slot Car Racing 3D UAE","Racing","Gamer Guyz","3.8"
"a151","Crossword Puzzle Free","Word","Xpress Mobyte","4.4"
"a152","Pressed For Words","Word","Words and Maps","3.8"
"a153","Psych! Outwit Your Friends","Word","Warner Bros. International Enterprises","4.2"
"a154","W.E.L.D.E.R.","Word","Ayopa Games","4.4"
"a155","WordBuzz: The Honey Quest","Word","Scribble Games","4.3"
"a156","Word Search","Word","Quarzo Apps","4.4"
"a157","Word Search","Word","AsgardSoft GmbH","4.2"
"a158","Frozen Frenzy Mania \u2013 Match 3","Puzzle","Storm8 Studios","4.3"
"a159","Panda Pop","Puzzle","Jam City, Inc.","4.4"
"a160","War Z 2","Strategy","Neuron Network Limited","4.5"
"a161","Clash of Clans","Strategy","Supercell","4.6"
"a162","Narcos: Cartel Wars","Strategy","FTX Games LTD","4.6"
"a163","Zombie Anarchy: Survival Game","Strategy","Gameloft","4.4"
"a164","War Commander: Rogue Assault","Strategy","KIXEYE","4.3"
"a165","City Island 4 - Farm Town Sim","Strategy","Sparkling Society \u2122","4.4"
"a166","Dawn of Titans","Strategy","NaturalMotionGames Ltd","4.5"
"a167","\u9b54\u6cd5\u82f1\u96c4\u50b3\u8aaa","Role Playing","IVY GAME","4.6"
"a168","DC Legends","Role Playing","Warner Bros. International Enterprises","4.5"
"a169","Summoners War","Role Playing","Com2uS","4.3"
"a170","Dark Sword","Role Playing","NANOO COMPANY Inc.","4.4"
"a171","Order & Chaos Online 3D MMORPG","Role Playing","Gameloft","4.3"
"a172","FINAL FANTASY Record Keeper","Role Playing","DeNA Corp.","4.5"
"a173","Guild of Heroes - fantasy RPG","Role Playing","Play Today LTD","4.4"
"a174","Dungeon Hunter 5 \u2013 Action RPG","Role Playing","Gameloft","4.2"
"a175","FINAL FANTASY BRAVE EXVIUS","Role Playing","SQUARE ENIX Co.,Ltd.","4.6"
"a176","Order & Chaos 2: Redemption","Role Playing","Gameloft","4.1"
"a177","Words for Kids - Reading Games","Educational","Nimble Minds","4.0"
"a178","Vocabulary Builder","Educational","Magoosh","4.3"
"a179","Shoot Spell","Educational","MaGICX","4.0"
"a180","Johnny Grammar Word Challenge","Educational","British Council","4.3"
"a181","Wordbase \u2013 Word Search Battle","Word","Wordbase Provinsen","4.0"
"a182","Free Word Search Puzzles","Word","Devarai Wordplay","4.2"
"a183","Word to Word: Association Game","Word","MochiBits","4.3"
"a184","Word Chums","Word","PeopleFun","4.8"
"a185","Word Games","Word","Mindware Consulting, Inc","4.0"
"a186","Word Search","Word","GO Big, Emoji, Camera, Applock & Security!","4.1"
"a187","\u0412\u0438\u0441\u0435\u043b\u0438\u0446\u0430 \u25b6","Word","K17 Games","4.1"
"a188","4 Fotos 1 Palabra","Word","LOTUM GmbH","4.4"
"a189","\u0421\u0442\u043e \u043a \u043e\u0434\u043d\u043e\u043c\u0443 (100 \u043a 1)","Word","NtInside","4.2"
"a190","Pa\u0144stwa Miasta ONLY in POLISH","Word","tombaky.com","3.9"
"a191","Endless ATV Quad Bikes","Racing","Station 1 Game Studio","3.9"
"a192","CSR Racing","Racing","NaturalMotionGames Ltd","4.4"
"a193","Word Search: Crossword","Word","GO Big, Emoji, Camera, Applock & Security!","4.2"
"a194","Racing In Car","Racing","LeYoo,Inc.","4.0"
"a195","Thumb Drift - Furious Racing","Racing","SMG Studio","4.1"
"a196","\u062c\u062f\u0648\u0644 \u067e\u0644\u0627\u0633","Word","Xalopex","4.1"
"a197","\ud83c\udfc1Trial Xtreme 4\ud83c\udfc1","Racing","Deemedya INC","4.2"
"a198","Moto Rider","Racing","TeNiuBi","4.0"
"a199","Hot Wheels: Race Off","Racing","Hutch Games","4.4"
"a200","Heroes of Steel RPG Elite","Role Playing","Cory Trese","4.7"
"a201","Empire: Four Kingdoms","Strategy","Goodgame Studios","4.2"
"a202","Barcode Knight","Role Playing","Magic Cube","4.2"
"a203","CHRONO TRIGGER","Role Playing","SQUARE ENIX Co.,Ltd.","3.8"
"a204","Traffic Rider","Racing","Soner Kara","4.7"
"a205","El Chavo Kart","Racing","Slang","4.2"
"a206","Kingturn Underworld RPG","Role Playing","Mangobile","4.7"
"a207","Aralon: Forge and Flame 3d RPG","Role Playing","Crescent Moon Games","3.7"
"a208","Aralon Sword and Shadow 3d RPG","Role Playing","Crescent Moon Games","4.1"
"a209","Heroes of Camelot","Role Playing","Gaea Mobile Limited","4.3"
"a210","Crusaders Quest","Role Playing","NHN Entertainment Corp.","4.4"
"a211","Shadow Assassin FREE","Role Playing","Mutated Byte","4.1"
"a212","Merchant","Role Playing","Retora Game Studios","4.1"
"a213","GraalOnline Classic","Role Playing","EUROCENTER GAMES","4.3"
"a214","Lords of Aswick","Role Playing","Hosted Games","4.6"
"a215","Dungeon Hunter 4","Role Playing","Gameloft","4.5"
"a216","Clash of the Damned","Role Playing","Creative Mobile Publishing","4.1"
"a217","Delight Games (Full Library)","Role Playing","Delight Games","4.8"
"a218","Hidden Object Mystery Guardian","Adventure","Big Bear Entertainment","4.0"
"a219","Deadly Puzzle (Full)","Adventure","Artifex Mundi","3.3"
"a220","Hidden Object: Mystery Land","Adventure","Jarbull","3.9"
"a221","Criminal Case","Adventure","Pretty Simple","4.5"
"a222","Horror Game: Escape Hospital","Adventure","Big Bear Entertainment","3.8"
"a223","Davey's Mystery 2","Puzzle","Echo Lake Interactive","4.6"
"a224","XON Episode Two","Puzzle","imagoFX","4.4"
"a225","Darkmoor Manor","Puzzle","Inertia Software","4.2"
"a226","The Room","Puzzle","Fireproof Games","4.8"
"a227","Escape Agent","Puzzle","Goblin LLC","4.3"
"a228","Grand Escape","Puzzle","Goblin LLC","4.3"
"a229","Abyss: The Wraiths of Eden","Adventure","G5 Entertainment","4.5"
"a230","Davey's Mystery","Puzzle","Echo Lake Interactive","4.4"
"a231","Infinite Word Search Puzzles","Word","Random Logic Games, LLC","4.4"
"a232","Daily Celebrity Crossword","Word","Zynga Inc.","4.2"
"a233","NY: Hidden Crimes","Puzzle","WYSE GAMES LTD","4.4"
"a234","Just Escape","Puzzle","Inertia Software","3.9"
"a235","Family Day Find Hidden Objects","Puzzle","Big Bear Entertainment","4.2"
"a236","World Escape","Puzzle","Mobest Media","4.2"
"a237","Escape Fever","Puzzle","Mobest Media","4.2"
"a238","Word Search Plus","Word","Harmonic Solutions","4.1"
"a239","7 Little Words","Word","Blue Ox Technologies Ltd.","4.7"
"a240","Word search","Word","AppDrac","4.1"
"a241","WordHero","Word","SVEN Studios Corp","4.4"
"a242","Letter Zap Classic","Word","Fanatee Games","4.2"
"a243","Scroodles","Word","Mad Sally Games","4.1"
"a244","SpellUp","Word","99Games","4.1"
"a245","Hollywood Game Night","Word","Halfbrick Studios","4.1"
"a246","4 Pics 1 Word","Word","LOTUM GmbH","4.4"
"a247","TETRIS Blitz","Puzzle","ELECTRONIC ARTS","4.4"
"a248","Genies & Gems","Puzzle","Jam City, Inc.","4.5"
"a249","Crazy Cake Swap","Puzzle","Zynga","4.7"
"a250","LINE: Disney Tsum Tsum","Puzzle","LINE Corporation","4.2"
"a251","Inside Out Thought Bubbles","Puzzle","Disney","4.4"
"a252","Crazy Kitchen","Puzzle","Zynga","4.6"
"a253","Paperama","Puzzle","FDG Entertainment GmbH & Co.KG","4.4"
"a254","Marble Dash","Puzzle","gameone","4.4"
"a255","Maleficent Free Fall","Puzzle","Disney","4.3"
"a256","2048","Puzzle","Androbros","4.1"
"a257","Where's My Water? 2","Puzzle","Disney","4.2"
"a258","Where's My Water? Free","Puzzle","Disney","4.3"
"a259","Royal Diamonds","Puzzle","ReadUpdates","4.0"
"a260","Lollipop Crush","Puzzle","BitMango","4.4"
"a261","Troll Face Quest Video Games","Puzzle","Spil Games","4.6"
"a262","Wizard of Oz: Magic Match","Puzzle","Zynga","4.7"
"a263","Bloody Roads, California","Strategy","seal Media","3.8"
"a264","Day R Survival","Role Playing","tltGames","4.5"
"a265","Word Crack Free","Word","Etermax","4.2"
"a266","4 Images 1 Mot","Word","LOTUM GmbH","4.3"
"a267","Languinis: Word Puzzles","Word","Game Alliance","4.6"
"a268","Sz\u00f3keres\u0151","Word","FoxFun","4.1"
"a269","Bubble Words - Letter Splash","Word","Genera Games","4.4"
"a270","Word Search","Word","Pink Pointer","4.4"
"a271","Wheel of Fortune Free Play","Word","Scopely","4.5"
"a272","SCRABBLE","Word","ELECTRONIC ARTS","3.9"
"a273","Hill Climb Racing 2","Racing","Fingersoft","4.6"
"a274","Drift Traffic Racer","Racing","nullapp","4.1"
"a275","Real Drift Racing : Road Racer","Racing","Magnat Mobile","4.2"
"a276","CSR Racing 2","Racing","NaturalMotionGames Ltd","4.7"
"a277","Furious Racing: Remastered","Racing","Hammerhead Studio","4.0"
"a278","Traffic Racing in Car","Racing","Planegg Mobile Entertainments","4.0"
"a279","Real Racing 3","Racing","ELECTRONIC ARTS","4.4"
"a280","Asphalt Xtreme: Rally Racing","Racing","Gameloft","4.4"
"a281","Need for Speed\u2122 No Limits","Racing","ELECTRONIC ARTS","4.4"
"a282","Wizard's Choice (Full Series)","Role Playing","Delight Games","4.6"
"a283","Haunted House: Hidden Secrets","Puzzle","Big Bear Entertainment","3.9"
"a284","Agent Alice","Puzzle","Wooga","4.3"
"a285","Adventure Escape: Time Library","Puzzle","Haiku Games","4.4"
"a286","Escape the Mansion","Puzzle","GAMEBORN Inc.","4.4"
"a287","Hidden Escape","Puzzle","ZENFOX GAMES","4.3"
"a288","Adventure Escape: Murder Manor","Puzzle","Haiku Games","4.5"
"a289","Psycho Escape","Puzzle","Trapped","4.3"
"a290","Dessert Making. Hidden Objects","Puzzle","Big Bear Entertainment","4.0"
"a291","Treasure Hunt - Fun Games Free","Puzzle","Big Bear Entertainment","4.1"
"a292","Adventure in Mystery Island","Puzzle","Big Bear Entertainment","4.0"
"a293","Escape Game: Haunted Circus","Puzzle","Big Bear Entertainment","3.8"
"a294","Adventure Escape Ocean Mystery","Puzzle","Big Bear Entertainment","4.0"
"a295","Hidden Objects: Secret House","Puzzle","Big Bear Entertainment","4.0"
"a296","Alphabear","Puzzle","Spry Fox LLC","4.5"
"a297","Wordament\u00ae","Puzzle","Microsoft Corporation","4.3"
"a298","PAC-MAN Pop","Puzzle","BANDAI NAMCO Entertainment America Inc.","4.2"
"a299","Troll Face Quest TV Shows","Puzzle","Spil Games","4.5"
"a300","Jigsaw puzzles free games kids","Puzzle","GoodSoftTech","4.4"
"a301","\u0644\u0639\u0628\u0629 \u0623\u0644\u063a\u0627\u0632 \u0645\u0633\u0644\u064a\u0629 - \u0628\u062f\u0648\u0646 \u0646\u062a","Puzzle","Izemtech Inc","4.4"
"a302","Cut the Rope FULL FREE","Puzzle","ZeptoLab","4.3"
"a303","Fairy Match 3","Puzzle","Irinafairy","4.3"
"a304","\u0411\u043e\u0440\u043e\u0434\u0430\u0447. \u041f\u043e\u043d\u044f\u0442\u044c \u0438 \u043f\u0440\u043e\u0441\u0442\u0438\u0442\u044c","Puzzle","\u041e\u041e\u041e \u00ab\u0413\u041f\u041c \u0420\u0422\u0412\u00bb","4.3"
"a305","Roll the Ball\u2122 - slide puzzle","Puzzle","BitMango","4.4"
"a306","Flow Free","Puzzle","Big Duck Games LLC","4.3"
"a307","Brain It On! - Physics Puzzles","Puzzle","Orbital Nine Games","4.5"
"a308","Jewels Temple Quest : Match 3","Puzzle","Springcomes","4.5"
"a309","Bubble Witch 3 Saga","Puzzle","King","4.7"
"a310","Bubble Shooter","Puzzle","mobistar","4.3"
"a311","Fruits Mania : Elly\u2019s travel","Puzzle","BitMango","4.5"
"a312","Escape the prison adventure","Puzzle","Rabbit Bay Games","4.0"
"a313","Block! Hexa Puzzle","Puzzle","BitMango","4.5"
"a314","Pirate Treasures","Puzzle","OrangeApps Games","4.4"
"a315","Physics Drop","Puzzle","IDC Games","3.8"
"a316","Gems or jewels ?","Puzzle","Time for awesome game","4.7"
"a317","TETRIS","Puzzle","Electronic Arts Inc","4.0"
"a318","Jigsaw Puzzle","Puzzle","appgo","4.2"
"a319","Jewels classic Prince","Puzzle","DySugar Ltd.","4.3"
"a320","Wash and Treat Pets Kids Game","Educational","romeLab","3.9"
"a321","Logic Games for Kids 6-9 Free","Educational","Irina Marina","4.3"
"a322","Animal Puzzles for kids free","Educational","SYNCROM ENTERTAINMENT","3.9"
"a323","Kid Racing Ambulance - Medics!","Educational","Tiny Lab Productions","3.9"
"a324","Vehicles and Cars Kids Racing","Educational","romeLab","3.8"
"a325","Smart Games for kids","Educational","AppQuiz","3.8"
"a326","Kids Construction Game","Educational","Androbaby","4.1"
"a327","Reckless Racing 2","Racing","Pixelbite","4.2"
"a328","Reckless Racing 3","Racing","Pixelbite","4.4"
"a329","Drift Mania: Street Outlaws","Racing","Ratrod Studio Inc.","4.2"
"a330","Slingshot Racing","Racing","Crescent Moon Games","4.3"
"a331","Repulze","Racing","Pixelbite","4.2"
"a332","Word Cookies","Word","BitMango","4.6"
"a333","Dinosaurs game for Toddlers","Educational","romeLab","3.6"
"a334","Earn to Die","Racing","Not Doppler","4.5"
"a335","Riptide GP","Racing","Vector Unit","4.5"
"a336","Real Drift Car Racing","Racing","RealGames","4.6"
"a337","Reckless Getaway","Racing","Pixelbite","4.4"
"a338","Mini Motor Racing","Racing","The Binary Mill","4.2"
"a339","Bike Mayhem Mountain Racing","Racing","Best Free Games Inc.","4.3"
"a340","Ricky Carmichael's Motocross","Racing","2XL Games, Inc.","3.9"
"a341","Speedway Masters","Racing","Dynamic Games Entretenimento Ltda","3.9"
"a342","Unpossible","Racing","Acceleroto","4.4"
"a343","Garfield Kart","Racing","Anuman","3.6"
"a344","Drag Racing 3D","Racing","REVOLUTION FIST","4.4"
"a345","Draw Rider +","Racing","17Studio","4.6"
"a346","Dirt Trackin","Racing","Bennett Racing Simulations, LLC","4.6"
"a347","Riptide GP2","Racing","Vector Unit","4.5"
"a348","Asphalt 8: Airborne","Racing","Gameloft","4.5"
"a349","Colin McRae Rally","Racing","Thumbstar Games Ltd","4.0"
"a350","Driftkhana Freestyle Drift App","Racing","Rumbl Media","4.2"
"a351","Pocket Rally","Racing","Illusion Magic Studio","4.2"
"a352","Get Gravel: Rally, Race, Drift","Racing","POLYGAMe d i g i t a l","3.8"
"a353","Racing Saga","Racing","WEDO1.COM LTD","4.0"
"a354","Extreme Rally SUV Simulator 3D","Racing","AxesInMotion Racing","3.8"
"a355","Furious Speedy Racing","Racing","Hammerhead Studio","4.0"
"a356","Highway Rally: Fast Car Racing","Racing","Games_Labs","3.8"
"a357","Burger Tycoon 2 - Cooking Game","Casual","mobistar","4.0"
"a358","DirinDirin","Casual","NAS Games Entertainment","4.6"
"a359","Crush Eggs","Casual","xinsheng dong","3.9"
"a360","Sweet Candy Fever","Casual","Gamoper","4.3"
"a361","Party in my Dorm","Casual","A Thinking Ape Entertainment Ltd.","3.7"
"a362","Kids Dinosaur Game Free","Casual","App Family","3.6"
"a363","Bubble Witch 2 Saga","Casual","King","4.3"
"a364","Candy Cupcake","Casual","Cosmo Game","4.5"
"a365","Farm Heroes Super Saga Match 3","Casual","King","4.4"
"a366","Virtual Families 2","Casual","Last Day of Work, LLC","4.1"
"a367","Family Heritage: House Secrets","Puzzle","Big Bear Entertainment","4.2"
"a368","Builder Game","Casual","Bubadu","4.2"
"a369","MONSTER TRUCK OFF ROAD 2","Simulation","Crazy Mist","3.6"
"a370","Monster Truck Stunt 3D","Racing","VascoGames","3.8"
"a371","3D Monster Truck Driving","Racing","Tapinator, Inc. (Ticker: TAPM)","3.9"
"a372","Top Truck Free - Monster Truck","Racing","Ace Viral","4.2"
