,Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_name,ltable_category,ltable_developer,ltable_rating,rtable_name,rtable_category,rtable_developer,rtable_rating,label
2984,30359,30359,a382,b2259,Baby Care Babysitter & Daycare,Educational,BATOKI - Best Apps for Toddlers and Kids,3.9,"Baby Dream House - Care, Play and Party at Home!",Educational,Kids Fun Club by TabTale,3.96104,0
1869,16618,16618,a419,b1589,Monster Truck Racing 3D,Racing,i6 Games,3.7,3D Emergency Parking Simulator Game - Real Police Fire-Truck Ambulance Car Driving School Test Park Sim Racing Games,Play With Games Ltd,Play With Games Ltd,3.69369,0
4172,43114,43114,a2218,b3582,Rock Hero,Music,Guitar & Music Games,3.7,Rock Life - Guitar Band Revenge of Hero Rising Star,Music,Zeeppo Games Ltda,4.44913,0
2038,18058,18058,a1947,b1659,Motorbike Driving Simulator 3D,Racing,Pudlus Games,3.8,Ferry Port Car Parking Simulator - Real Monster Bus Driving Test Truck Racing Run Race Games,Play With Games Ltd,Play With Games Ltd,4.45293,0
4160,42944,42944,a3597,b3561,Jigsaw Puzzle Games for Kids,Educational,KidZone Studios,4.3,Kids Face Paint - Makeup &amp; Spa Girls Salon Games,Ninjafish Studios,Ninjafish Studios,1284 Ratings,0
871,8643,8643,a1874,b820,Escape game : Doors&Rooms,Puzzle,Gameday Inc.,4.4,Escape game : Doors&amp;Rooms,Adventure,gameday Inc.,4.4036,0
2756,26555,26555,a1480,b2086,Toddler Animal Sounds,Education,Kidstatic Apps,4.1,Zoo Sounds Free - A Fun Animal Sound Game for Kids,Education,Tantrum Apps,3.51724,0
3492,35450,35450,a1956,b2752,4x4 Offroad Driving 3D,Simulation,i6 Games,3.7,3D Plane Flying Parking Simulator Game - Real Airplane Driving Test Run Sim Racing Games,Hybrid Touch Games Limited,Hybrid Touch Games Limited,3.81887,0
2730,26180,26180,a1511,b2070,Quiz Run,Trivia,VOODOO,4.3,Quiz Run - Challenge your friends!,Trivia,Voodoo,4.4516,0
2602,24441,24441,a3591,b2002,Coloring games for kids animal,Casual,2bros - games for kids,4.3,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
3535,35852,35852,a1361,b2789,Big Win Football 2016,Sports,Hothead Games,4,Big Win Hockey,Sports,Hothead Games Inc.,4.16249,0
1536,14701,14701,a852,b1336,Empire War: Age of hero,Strategy,FT Games,4.3,Rock Life - Guitar Band Revenge of Hero Rising Star,Music,Zeeppo Games Ltda,4.44913,0
1359,10894,10894,a321,b1175,Logic Games for Kids 6-9 Free,Educational,Irina Marina,4.3,Pony Unicorn Memo Memories Matching Learning Kids Games for Girls and Toddlers,Education,Irina Schens,3.50658,0
4140,42767,42767,a825,b3545,FINAL FANTASY III,Role Playing,"SQUARE ENIX Co.,Ltd.",4.5,FINAL FANTASY BRAVE EXVIUS,Role Playing,SQUARE ENIX INC,4.61956,0
708,7736,7736,a445,b649,Dumb Ways to Die 2: The Games,Casual,Metro Trains,4.2,Dumb Ways to Die 2: The Games,Metro Trains Melbourne Pty Ltd,Metro Trains Melbourne Pty Ltd,3.82927,1
2210,19174,19174,a450,b1770,MMX Racing,Racing,Hutch Games,4.2,MMX Racing,Action,Hutch Games Ltd,4.62988,1
214,3425,3425,a2646,b289,Slots Free - Big Win Casino\u2122,Casino,FiveStar Games - Slots and Casino,4.3,Vegas Party Slots Free 3D Slots with Friends!,Inc,"Big Fish Games, Inc",4.21186,0
949,8898,8898,a2801,b876,Can You Steal It: Secret Thief,Adventure,HI STUDIO LIMITED,4.2,100 Floors - Can You Escape?,Entertainment,Tobi Apps Limited,2.53333,0
530,6678,6678,a2648,b539,Slot Machine,Casino,LinkDesks Inc.,4.6,Wizard of Oz - Vegas Casino Slot Machine Games,Zynga Inc.,Zynga Inc.,4.83662,0
3871,39002,39002,a1129,b3188,Kids doodle games for toddlers,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.2,Christmas Food Fever Cooking Maker Kids Games,Fancy Quiz Games,Fancy Quiz Games,3.82545,0
1277,10108,10108,a1114,b1104,Peekaboo Kids - Free Kids Game,Education,Tappy Happy kids apps & games for kids,3.8,Sniper 3D Assassin: Shoot to Kill Game For Free,Action,Fun Games For Free,4.88959,0
465,5788,5788,a2742,b487,Big Fish Casino\u2122 \u2013 Free Slots,Casino,Big Fish Games,4.3,High 5 Casino - Free Real Vegas Slots!,Games,High 5 Games,4.09375,0
961,8917,8917,a221,b886,Criminal Case,Adventure,Pretty Simple,4.5,Criminal Case,Adventure,Pretty Simple,4.50516,1
2172,19021,19021,a280,b1743,Asphalt Xtreme: Rally Racing,Racing,Gameloft,4.4,Asphalt Xtreme: Offroad Racing,Racing,Gameloft,4.48592,0
3931,40207,40207,a1129,b3263,Kids doodle games for toddlers,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.2,A College Girl &amp; Campus Life Story: superstar romance and episode social dating sim games for teen,Word,App Mania LLC,3.85094,0
2194,19126,19126,a756,b1764,Bike Race Pro by T. F. Games,Racing,Top Free Games.,4.7,Car Race by Fun Games For Free,Racing,Fun Games For Free,4.60419,0
2698,25894,25894,a1129,b2061,Kids doodle games for toddlers,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.2,Kindergarten Math Games For Kids (singapore) free,Educational Books,"Kids Academy Co apps: Preschool &amp; Kindergarten Learning Kids Games, Educational Books, Free Songs",4.54545,0
1703,15929,15929,a1576,b1507,Angry Birds Go!,Racing,Rovio Entertainment Ltd.,4.2,Angry Birds Blast,Puzzle,Rovio Entertainment Ltd,4.62446,0
195,2922,2922,a2712,b265,Slots Lost Treasure Slot Games,Casino,Rocket Speed - Casino Slots Games,4.4,OMG! Fortune Free Slots Play Vegas Casino Games!,Games,LuckyFish Games,786 Ratings,0
3782,37081,37081,a3479,b3061,The Mystery of Haunted Hollow,Adventure,Point & Click LLC,3.8,Make It Rain: The Love of Money,Strategy,"Space Inch, LLC",26362 Ratings,0
3768,37039,37039,a1756,b3057,Match Jong FREE,Puzzle,Pozirk Games Inc.,4.3,Gummy Drop! Free Match 3 Puzzle Game,Inc,"Big Fish Games, Inc",4.5732,0
1095,9464,9464,a1994,b991,Avion Flight Simulator \u2122 2016,Simulation,TeaPOT Games,4.2,Flight Pilot Simulator 3D: Flying Game For Free,Simulation,Fun Games For Free,4.5734,0
2805,27437,27437,a3625,b2110,Baby puzzles & games for kids,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.6,Preschool &amp; Kindergarten learning kids games free,Educational Books,"Kids Academy Co apps: Preschool &amp; Kindergarten Learning Kids Games, Educational Books, Free Songs",4.66667,0
72,519,519,a3621,b45,Birthday party: Games for kids,Educational,Preschool & Kindergarten Learning Kids Games,4,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
2812,27554,27554,a3625,b2113,Baby puzzles & games for kids,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.6,Christmas Salon Spa &amp; Hair Makeover Games for Kids,Family,App Whisperer LLC,3.81295,0
2244,19289,19289,a414,b1793,Extreme SUV Driving Simulator,Racing,AxesInMotion Racing,4.1,Extreme Car Driving Simulator Free,Simulation,AxesInMotion S.L.,4.36311,0
3274,33965,33965,a1947,b2598,Motorbike Driving Simulator 3D,Racing,Pudlus Games,3.8,Flight Pilot Simulator 3D: Flying Game For Free,Simulation,Fun Games For Free,4.5732,0
3610,36144,36144,a1367,b2899,Madden NFL Mobile,Sports,ELECTRONIC ARTS,4.4,MADDEN NFL Mobile,Sports,Electronic Arts,4.41836,1
2953,30015,30015,a3591,b2245,Coloring games for kids animal,Casual,2bros - games for kids,4.3,"Chic Baby - Baby Care &amp; Dress Up Games for Kids, by Pazu",Family,Pazu Games Ltd,4.07619,0
3558,35900,35900,a1465,b2809,TAP SPORTS BASEBALL 2015,Sports,Glu,4.3,Tap Sports Baseball 2015,Action,Glu Games Inc,4.34101,1
2954,30019,30019,a3621,b2245,Birthday party: Games for kids,Educational,Preschool & Kindergarten Learning Kids Games,4,"Chic Baby - Baby Care &amp; Dress Up Games for Kids, by Pazu",Family,Pazu Games Ltd,4.07619,0
3365,34754,34754,a141,b2682,Army Truck Driver : Offroad,Racing,Racing Games Android,3.8,Quarry Driver Parking Game - Real Mining Monster Truck Car Driving Test Park Sim Racing Games,Play With Games Ltd,Play With Games Ltd,4.30739,0
1170,9659,9659,a2447,b1039,101-in-1 Games HD,Arcade,Nordcurrent,4.4,101-in-1 Games !,Entertainment,Nordcurrent,4.5128,0
1430,12768,12768,a3625,b1247,Baby puzzles & games for kids,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.6,A Fun Slender-man Sniper Gore Kill Game By Scary Halloween Shooting &amp; Killing Slender Man For Teen Boys And Kids Games Free,Social Networking,uTappz Mobile Development LLC,4.04455,0
1056,9354,9354,a1135,b968,Dino Puzzle Games for Kids,Puzzle,Tiltan Games,4,Car Race by Fun Games For Free,Racing,Fun Games For Free,4.60419,0
4260,43849,43849,a549,b3672,The Walking Dead: Season One,Adventure,Telltale Games,4.5,The Walking Dead: No Man's Land,Role Playing,Next Games Oy,3.95238,0
3791,37134,37134,a966,b3072,Boom Beach,Strategy,Supercell,4.5,Boom Beach,Strategy,Supercell,4.24474,1
1892,16693,16693,a419,b1591,Monster Truck Racing 3D,Racing,i6 Games,3.7,Monster Truck by Fun Games For Free,Arcade,Fun Games For Free,4.49278,0
2983,30356,30356,a3754,b2259,Baby Panda Care,Educational,BabyBus Kids Games,4.1,"Baby Dream House - Care, Play and Party at Home!",Educational,Kids Fun Club by TabTale,3.96104,0
773,8116,8116,a549,b705,The Walking Dead: Season One,Adventure,Telltale Games,4.5,Walking Dead: The Game - Season 2,Adventure,Telltale Inc,4.19998,0
817,8403,8403,a1129,b758,Kids doodle games for toddlers,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.2,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556,0
3321,34253,34253,a2251,b2638,Restaurant Story 2,Casual,Storm8 Studios,3.9,Restaurant Story,Simulation,Storm8 Studios,4.12324,0
2401,21140,21140,a3648,b1856,Popping Wrap Game Free,Simulation,DPoisn LLC,2.8,Totally FREE Solitaire - Deluxe Klondike Card Game,Dice,Boy Howdy Technology LLC,4.89473,0
3236,33769,33769,a1984,b2550,Fighter Jet: Flight Simulator,Simulation,i6 Games,3.5,Flight Alert : Impossible Landings Flight Simulator by Fun Games For Free,Arcade,Fun Games For Free,4.79976,0
2948,29990,29990,a3260,b2245,Trip to the zoo for kids,Educational,Kids Games Projects,4.4,"Chic Baby - Baby Care &amp; Dress Up Games for Kids, by Pazu",Family,Pazu Games Ltd,4.07619,0
1922,16973,16973,a2976,b1601,Jet Ski Driving Simulator 3D 2,Racing,parking games,4.5,Super Sports Car Parking Simulator - Real Driving Test Sim Racing Games,Play With Games Ltd,Play With Games Ltd,4.43713,0
3746,36969,36969,a30,b3045,Words With Friends \u2013 Play Free,Word,Zynga,4.3,Chess With Friends Free,Strategy,Zynga Inc.,4.1898,0
3964,40918,40918,a1844,b3335,Lucky Wheel,Puzzle,DOTS Studio,4.4,Amazing Wheel - Word and Phrase Quiz for Lucky Fortune Wheel,Trivia,AppAsia Studio Sdn Bhd,2.75,0
1358,10802,10802,a2310,b1171,Piano Master 2,Music,B77 Entertainment,4.2,Piano Master FREE,Music,B77 ENTERTAINMENT SRL,3.58333,0
2087,18467,18467,a3688,b1687,Xtreme Racing 2 - Speed Car RC,Racing,Genera Games,4.2,Police Car Parking Simulator Game - Real Life Emergency Driving Test Sim Racing Games,Play With Games Ltd,Play With Games Ltd,4.23776,0
1939,17076,17076,a3760,b1609,Dog Run - Pet Dog Simulator,Simulation,Green Tea Games,4.7,3D Sports Cars Parking Simulator Racing Game ~ Real Driving Test Run Park Sim Games,Play With Games Ltd,Play With Games Ltd,4.03095,0
125,1898,1898,a852,b178,Empire War: Age of hero,Strategy,FT Games,4.3,Lux Touch - risk of world war game,Games,Sillysoft Games,4.17722,0
4108,42387,42387,a3706,b3498,Fairy Farm - Games for Girls,Casual,Game Garden\u2122,4.3,"High School Salon - Girls Makeup, Dressup and Makeover Games",Libii Girls Game,Libii Girls Game,4.20967,0
42,356,356,a1129,b41,Kids doodle games for toddlers,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.2,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
2902,28770,28770,a382,b2188,Baby Care Babysitter & Daycare,Educational,BATOKI - Best Apps for Toddlers and Kids,3.9,My Newborn Baby - Mommy &amp; Baby Care,Entertainment,Kids Fun Club by TabTale,4,0
3864,38738,38738,a2306,b3174,Best Dress Up and Makeup Games,Casual,Best Girls Dress Up Makeup and Nail Manicure Games,3.8,iRoll Up Friends: Multiplayer Rolling and Smoking Simulator Game,Inc.,"Tapgang Apps and Games, Inc.",3.125,0
829,8465,8465,a636,b761,FRONTLINE COMMANDO: WW2,Action,Glu,4.2,Frontline Commando 2,Entertainment,Glu Games Inc,4.42042,0
2498,22973,22973,a1126,b1946,Pooza - FREE Puzzles for Kids,Education,ImagiRation LLC,4.5,`Baby Corn Run Race Free - Easy Kids Jump Chase Racing by Top Crazy Games,Top Crazy Games LLC,Top Crazy Games LLC,3.46429,0
2483,22856,22856,a1501,b1936,Guess the Word,Word,"Random Logic Games, LLC",4.2,What's The Food? Guess the Food Brand Icons Trivia,Inc.,"Tapgang Apps and Games, Inc.",2.5,0
218,3431,3431,a2690,b289,OMG! Fortune Free Slots Casino,Casino,LuckyFish Games \u2013 Free Slot Machines,4.3,Vegas Party Slots Free 3D Slots with Friends!,Inc,"Big Fish Games, Inc",4.21186,0
1554,15001,15001,a1686,b1360,Geometry Dash,Arcade,RobTop Games,4.8,Geometry Dash Lite,Arcade,RobTop Games AB,4.49073,0
3351,34628,34628,a1422,b2668,Dude Perfect,Sports,Dude Perfect,4,Dude Perfect,Family,Dude Perfect,4.61828,1
678,7659,7659,a1618,b633,Angry Birds Epic RPG,Role Playing,Rovio Entertainment Ltd.,4.5,Angry Birds Transformers,Action,Rovio Entertainment Ltd,3.4,0
3045,31246,31246,a1135,b2316,Dino Puzzle Games for Kids,Puzzle,Tiltan Games,4,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556,0
4012,41666,41666,a1439,b3410,Hanging With Friends,Word,Zynga,4.2,Word Streak With Friends - FREE,Entertainment,Zynga Inc.,4.03571,0
1327,10343,10343,a419,b1146,Monster Truck Racing 3D,Racing,i6 Games,3.7,Auto Police Fast Speed 3D Car Chase - Free Racing Game,Games,Sixfeed Games,3.77027,0
220,3444,3444,a1289,b289,Fishing Paradise 3D Free+,Sports,Pro Media Now Inc,4.1,Vegas Party Slots Free 3D Slots with Friends!,Inc,"Big Fish Games, Inc",4.21186,0
3983,41277,41277,a184,b3382,Word Chums,Word,PeopleFun,4.8,Word Chums - The Exclusive Crossword Puzzle Game,Board,"PeopleFun, Inc.",4.87125,0
162,2647,2647,a2741,b243,Scatter Slots: Free Fun Casino,Casino,Murka Ltd.,4.6,Panda Best Free Slots Game Vegas,Casino,InfiApps Ltd.,4.72581,0
1794,16280,16280,a3029,b1545,Where's My Mickey?,Puzzle,Disney,4.1,Where's My Water? 2,Entertainment,Disney,4.01976,0
2193,19120,19120,a2624,b1764,Ninja Kid Run Free - Fun Games,Action,Fun Games For Free,4.1,Car Race by Fun Games For Free,Racing,Fun Games For Free,4.60419,0
3325,34260,34260,a1602,b2643,Talking Tom Gold Run,Action,Outfit7,4.5,My Talking Tom,Entertainment,Outfit7 Limited,4.26376,0
2803,27432,27432,a3591,b2110,Coloring games for kids animal,Casual,2bros - games for kids,4.3,Preschool &amp; Kindergarten learning kids games free,Educational Books,"Kids Academy Co apps: Preschool &amp; Kindergarten Learning Kids Games, Educational Books, Free Songs",4.66667,0
582,7088,7088,a1126,b570,Pooza - FREE Puzzles for Kids,Education,ImagiRation LLC,4.5,Solitaire Free for iPhone &amp; iPad,Card,Solebon LLC,4.74189,0
1521,14533,14533,a1183,b1318,Trucks by Duck Duck Moose,Educational,"Duck Duck Moose, LLC",4,A Cool Adventure Hunter The Duck Shoot-ing Game By Free Animal-s Hunt-ing &amp; Fish-ing Games For Adult-s Teen-s &amp; Boy-s Pro,Sports,uTappz Mobile Development LLC,4.22876,0
620,7458,7458,a2680,b590,Zynga Poker Classic TX Holdem,Casino,Zynga,4.3,Zynga Poker - Texas Holdem: Vegas Casino Card Game,Entertainment,Zynga Inc.,4.54624,0
651,7592,7592,a853,b616,Clash of Lords 2: New Age,Strategy,IGG.COM,4.5,Clash of Lords 2: Heroes War,Action,IGG.COM,3.33333,0
2779,27136,27136,a1129,b2102,Kids doodle games for toddlers,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.2,Triplet Baby Doctor Salon Spa Kids Games Free,Games,Free Addicting Games,3.61176,0
45,362,362,a1164,b41,Kids Tap and Color (Lite),Educational,Intellijoy Educational Games for Kids,3.8,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
2065,18239,18239,a1100,b1680,Funny Cars for Kids,Educational,Hogsmith Games,4.4,Ninja Revinja Free - Real Uber Racing Run for Kids,Games,Sizzle Entertainment: The Best Fun Free Cool Apps and Top Addicting Games,4.32258,0
2319,19646,19646,a3655,b1815,Girls Hair Salon,Educational,Pazu Games,3.8,A Little Crazy Pet Vet Baby Boo Hospital - My virtual fun care dentist doctor nose eye hair nail salon office for plush pets makeover games for kids boys &amp; girls,Games,Tic Toc Pocket Games,3.58621,0
556,6767,6767,a2809,b545,777 Slots Casino,Casino,Scientific Games Interactive (IL),4.4,Slots - Huuuge Casino: Free Slot Machines,Entertainment,Huuuge Games Sp. z o.o.,3.82759,0
1475,13332,13332,a1885,b1276,Fast Racing 3D,Racing,Doodle Mobile Ltd.,4.2,3D Action Motorcycle Nitro Drag Racing Game By Best Motor Cycle Racer Adventure Games For Boy-s Kid-s &amp; Teen-s Pro,Sports,uTappz Mobile Development LLC,4.35335,0
1427,12719,12719,a3214,b1247,Gus Learns Spanish for Kids,Education,"toojuice, LLC",4.7,A Fun Slender-man Sniper Gore Kill Game By Scary Halloween Shooting &amp; Killing Slender Man For Teen Boys And Kids Games Free,Social Networking,uTappz Mobile Development LLC,4.04455,0
3275,33966,33966,a1981,b2598,Block Craft 3D: Building Game,Simulation,Fun Games For Free,4.5,Flight Pilot Simulator 3D: Flying Game For Free,Simulation,Fun Games For Free,4.5732,0
545,6743,6743,a2646,b545,Slots Free - Big Win Casino\u2122,Casino,FiveStar Games - Slots and Casino,4.3,Slots - Huuuge Casino: Free Slot Machines,Entertainment,Huuuge Games Sp. z o.o.,3.82759,0
2219,19217,19217,a204,b1780,Traffic Rider,Racing,Soner Kara,4.7,Traffic Rider,Entertainment,Soner Kara,4.46086,1
1065,9377,9377,a1679,b969,Angry Birds Rio,Arcade,Rovio Entertainment Ltd.,4.4,Angry Birds,Arcade,Rovio Entertainment Ltd,3.67521,0
3830,38177,38177,a2647,b3146,The Price is Right\u2122 Slots,Casino,Ludia Inc.,4.2,The Price is Right Decades,Family,Ludia,3.95624,0
2986,30390,30390,a973,b2265,Monkey Preschool Lunchbox,Education,THUP Games,4.4,Monkey Preschool Lunchbox,Games,THUP Games,none,1
87,759,759,a25,b86,Wordox The Word Snatcher,Word,IsCool Entertainment,4.3,Wordox The Word Snatcher,Entertainment,IsCool Entertainment,3321 Ratings,1
3084,31780,31780,a3583,b2337,Colors Matching Games for Kids,Educational,Eggroll Games,4.3,"Makeup Girls - Make Up &amp; Beauty Salon games for girls, by Pazu",Educational,Pazu Games Ltd,4.03071,0
3646,36451,36451,a537,b2939,Game of Thrones,Adventure,Telltale Games,4.3,Lux Touch - risk of world war game,Games,Sillysoft Games,4.17722,0
1994,17767,17767,a419,b1638,Monster Truck Racing 3D,Racing,i6 Games,3.7,Quarry Driver Parking Game - Real Mining Monster Truck Car Driving Test Park Sim Racing Games,Play With Games Ltd,Play With Games Ltd,4.30739,0
4059,42161,42161,a246,b3466,4 Pics 1 Word,Word,LOTUM GmbH,4.4,4 Pics 1 Word,Word,LOTUM GmbH,4.31496,1
1647,15619,15619,a588,b1447,Hearts Card Game FREE,Card,Breakout Games,4.3,Cascade: Free Spin and Match Puzzle Game!,Inc,"Big Fish Games, Inc",4.80089,0
3129,32644,32644,a1980,b2407,Disney Magic Kingdoms,Simulation,Gameloft,4.2,Disney Magic Kingdoms,Entertainment,Gameloft,4.2057,1
142,2299,2299,a2826,b201,Shelter: A Survival Card Game,Board,Survivalist Games,4.2,Spades Free! Play the Classic Card Game for Free,Games,Shozila Games,4.21052,0
1950,17104,17104,a2038,b1609,Flight Pilot Simulator 3D Free,Simulation,Fun Games For Free,4.6,3D Sports Cars Parking Simulator Racing Game ~ Real Driving Test Run Park Sim Games,Play With Games Ltd,Play With Games Ltd,4.03095,0
979,9020,9020,a1973,b908,Bakery Blitz: Cooking Game,Simulation,Rockyou Inc.,4.1,Kitchen Scramble: Cooking Game,Arcade,"RockYou, Inc.",3.28571,0
3536,35853,35853,a1332,b2789,BIG WIN Racing,Sports,Hothead Games,3.9,Big Win Hockey,Sports,Hothead Games Inc.,4.16249,0
1509,14029,14029,a3597,b1294,Jigsaw Puzzle Games for Kids,Educational,KidZone Studios,4.3,Rockstar Makeover - Girl Makeup Salon &amp; Kids Games,Ninjafish Studios,Ninjafish Studios,216 Ratings,0
3863,38627,38627,a1502,b3171,100 PICS Quiz - free quizzes,Trivia,Poptacular,4.3,Colorin - The fun free coloring in book logo quiz game for adults,Entertainment,Poptacular Ltd,4.28571,0
156,2574,2574,a2646,b231,Slots Free - Big Win Casino\u2122,Casino,FiveStar Games - Slots and Casino,4.3,SpinToWin Slots: Win Real Money! Free Sweepstakes,Casino,Fuzzy Button Games Inc.,5,0
1766,16172,16172,a1731,b1535,Angry Birds Star Wars HD,Arcade,Rovio Entertainment Ltd.,4.2,Angry Birds Rio,Puzzle,Rovio Entertainment Ltd,3.925,0
485,6141,6141,a2716,b508,Slots Lucky Wolf Casino Slots,Casino,Rocket Speed - Casino Slots Games,4.4,Old Vegas Slots: Free Classic Casino Slot Machines,LLC,"DGN Games, LLC",3.28571,0
2134,18668,18668,a2033,b1697,Flight Simulator: Fly Plane 3D,Simulation,i6 Games,3.9,3D Plane Flying Parking Simulator Game - Real Airplane Driving Test Run Sim Racing Games,Hybrid Touch Games Limited,Hybrid Touch Games Limited,3.81887,0
3759,37014,37014,a2846,b3057,Addition Flash Card Match Game,Casual,Eggroll Games,4.2,Gummy Drop! Free Match 3 Puzzle Game,Inc,"Big Fish Games, Inc",4.5732,0
189,2911,2911,a2624,b265,Ninja Kid Run Free - Fun Games,Action,Fun Games For Free,4.1,OMG! Fortune Free Slots Play Vegas Casino Games!,Games,LuckyFish Games,786 Ratings,0
