,_id,ltable_ID,rtable_ID,ltable_name,ltable_category,ltable_developer,ltable_rating,rtable_name,rtable_category,rtable_developer,rtable_rating,label
85,85,a3,b16,UNO \u2122 & Friends,Card,Gameloft,4,UNO &amp; Friends,Board,Gameloft,65781 Ratings,0
94,94,a1017,b22,STAR WARS\u2122: FORCE COLLECTION,Strategy,KONAMI,3.8,STAR WARS: FORCE COLLECTION,Entertainment,KONAMI,3.97727,0
96,96,a565,b24,Order & Chaos Duels,Card,Gameloft,4.4,Order &amp; Chaos Duels - Trading Card Game,Card,Gameloft,4.41364,0
98,98,a171,b24,Order & Chaos Online 3D MMORPG,Role Playing,Gameloft,4.3,Order &amp; Chaos Duels - Trading Card Game,Card,Gameloft,4.41364,0
99,99,a176,b24,Order & Chaos 2: Redemption,Role Playing,Gameloft,4.1,Order &amp; Chaos Duels - Trading Card Game,Card,Gameloft,4.41364,0
143,143,a1126,b36,Pooza - FREE Puzzles for Kids,Education,ImagiRation LLC,4.5,Zentomino Free - Relaxing alternative to tangram puzzles,Board,"Little White Bear Studios, LLC",3.5,0
145,145,a797,b36,CastleStorm - Free to Siege,Strategy,Zen Studios,4.4,Zentomino Free - Relaxing alternative to tangram puzzles,Board,"Little White Bear Studios, LLC",3.5,0
214,214,a684,b39,Cars & Trucks Puzzle for Kids,Puzzle,Pixel Envision Ltd.,3.7,100 PICS Puzzles - The biggest jigsaw puzzle game for free,Puzzle,Poptacular Ltd,4.64086,0
254,254,a1502,b39,100 PICS Quiz - free quizzes,Trivia,Poptacular,4.3,100 PICS Puzzles - The biggest jigsaw puzzle game for free,Puzzle,Poptacular Ltd,4.64086,0
260,260,a3626,b39,Animal Jigsaw Puzzle Toddlers,Puzzle,Pixel Envision Ltd.,4,100 PICS Puzzles - The biggest jigsaw puzzle game for free,Puzzle,Poptacular Ltd,4.64086,0
280,280,a94,b41,Bike Race Free Motorcycle Game,Racing,Top Free Games.,4.5,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
286,286,a2306,b41,Best Dress Up and Makeup Games,Casual,Best Girls Dress Up Makeup and Nail Manicure Games,3.8,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
306,306,a2455,b41,Sniper Shooter Free - Fun Game,Action,Fun Games For Free,4.5,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
311,311,a2506,b41,Princess memory game for kids,Board,Owlet games for kids,3.8,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
317,317,a482,b41,Fishing for kids and babies,Educational,Babies and Kids Educational Games,3.9,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
319,319,a2565,b41,Eatme.io: Hungry fish fun game,Action,Junglee Games,4.1,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
321,321,a2624,b41,Ninja Kid Run Free - Fun Games,Action,Fun Games For Free,4.1,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
322,322,a588,b41,Hearts Card Game FREE,Card,Breakout Games,4.3,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
334,334,a2933,b41,Kids Shopping Games,Educational,Hippo Kids Games,4.2,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
343,343,a1054,b41,Kids Numbers and Math FREE,Educational,Intellijoy Educational Games for Kids,4.2,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
345,345,a1080,b41,Kids Tap and Color,Educational,Intellijoy Educational Games for Kids,4.5,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
352,352,a1114,b41,Peekaboo Kids - Free Kids Game,Education,Tappy Happy kids apps & games for kids,3.8,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
354,354,a1120,b41,Savanna - Coloring Games Kids,Educational,MagisterApp - Educational Games for kids,3.9,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
356,356,a1129,b41,Kids doodle games for toddlers,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.2,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
359,359,a1135,b41,Dino Puzzle Games for Kids,Puzzle,Tiltan Games,4,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
361,361,a3211,b41,Color Block Puzzle Brick Game,Casual,Baca Baca Games,null,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
362,362,a1164,b41,Kids Tap and Color (Lite),Educational,Intellijoy Educational Games for Kids,3.8,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
369,369,a3391,b41,Kids Dinosaur Scratch & Color,Educational,YOGER GAMES,3.7,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
373,373,a3525,b41,Color Mixing Studio - FREE,Educational,BabyBus Kids Games,3.9,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
379,379,a3583,b41,Colors Matching Games for Kids,Educational,Eggroll Games,4.3,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
380,380,a3591,b41,Coloring games for kids animal,Casual,2bros - games for kids,4.3,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
383,383,a3621,b41,Birthday party: Games for kids,Educational,Preschool & Kindergarten Learning Kids Games,4,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
385,385,a3625,b41,Baby puzzles & games for kids,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.6,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
386,386,a3627,b41,Kids Learn Shapes FREE,Educational,Intellijoy Educational Games for Kids,3.8,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
389,389,a3676,b41,Bubble Shooter Pet Pop Mania,Casual,HDuo Fun Games,4.3,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
395,395,a1736,b41,Box Island - Kids Coding Game!,Educational,Radiant Games,4.4,Color Bubbles Pop Mania - Cute Fun Simple Silly Boys and Girls Game (Free HD Kids Games),Games,Top Action Games,4.23112,0
416,416,a875,b42,Garfield's Defense 2,Action,Web Prancer,4.3,Garfield's Defense: Attack of the Food Invaders,Arcade,Web Prancer,1949 Ratings,0
440,440,a1100,b45,Funny Cars for Kids,Educational,Hogsmith Games,4.4,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
441,441,a2506,b45,Princess memory game for kids,Board,Owlet games for kids,3.8,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
448,448,a482,b45,Fishing for kids and babies,Educational,Babies and Kids Educational Games,3.9,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
454,454,a684,b45,Cars & Trucks Puzzle for Kids,Puzzle,Pixel Envision Ltd.,3.7,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
458,458,a2933,b45,Kids Shopping Games,Educational,Hippo Kids Games,4.2,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
476,476,a1120,b45,Savanna - Coloring Games Kids,Educational,MagisterApp - Educational Games for kids,3.9,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
479,479,a1129,b45,Kids doodle games for toddlers,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.2,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
482,482,a1133,b45,Coloring book for kids,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.2,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
483,483,a1135,b45,Dino Puzzle Games for Kids,Puzzle,Tiltan Games,4,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
491,491,a3258,b45,Animals Farm For Kids,Educational,Kids Games Projects,4.2,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
492,492,a3260,b45,Trip to the zoo for kids,Educational,Kids Games Projects,4.4,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
498,498,a3332,b45,Explorium: Ocean For Kids,Educational,Applied Systems Ltd.,4.1,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
499,499,a3336,b45,Explorium: Space for Kids,Educational,Applied Systems Ltd.,4.4,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
513,513,a3583,b45,Colors Matching Games for Kids,Educational,Eggroll Games,4.3,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
514,514,a3584,b45,Shapes Match for Kids,Educational,Eggroll Games,5,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
516,516,a3591,b45,Coloring games for kids animal,Casual,2bros - games for kids,4.3,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
519,519,a3621,b45,Birthday party: Games for kids,Educational,Preschool & Kindergarten Learning Kids Games,4,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
521,521,a3625,b45,Baby puzzles & games for kids,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.6,Christmas Games - Santa Claus Toy Party for kids,Education,Tiltan Games (2013) LTD,139 Ratings,0
528,528,a313,b47,Block! Hexa Puzzle,Puzzle,BitMango,4.5,Make7! Hexa Puzzle,Board,BitMango,4.50432,0
565,565,a2773,b51,All-in-One Solitaire FREE,Card,Pozirk Games Inc.,4,Mahjong Worlds Free Tile Matching Solitaire Game,Board,Bytewaves Inc,4.84615,0
591,591,a1586,b59,Dots: A Game About Connecting,Casual,"Playdots, Inc.",4.1,Scattergories: A fast-thinking game of categories,Word,Magmic Inc.,4.66667,0
598,598,a1005,b59,Game of War - Fire Age,Strategy,"Machine Zone, Inc.",3.9,Scattergories: A fast-thinking game of categories,Word,Magmic Inc.,4.66667,0
639,639,a94,b62,Bike Race Free Motorcycle Game,Racing,Top Free Games.,4.5,Hearts DeLuxe Free. Play the Classic card Game now,Games,Zithromia Games,4.53623,0
645,645,a2455,b62,Sniper Shooter Free - Fun Game,Action,Fun Games For Free,4.5,Hearts DeLuxe Free. Play the Classic card Game now,Games,Zithromia Games,4.53623,0
652,652,a498,b62,Zsirozas - Fat card game,Card,Saj\u00f3 Games,4.2,Hearts DeLuxe Free. Play the Classic card Game now,Games,Zithromia Games,4.53623,0
656,656,a588,b62,Hearts Card Game FREE,Card,Breakout Games,4.3,Hearts DeLuxe Free. Play the Classic card Game now,Games,Zithromia Games,4.53623,0
664,664,a2826,b62,Shelter: A Survival Card Game,Board,Survivalist Games,4.2,Hearts DeLuxe Free. Play the Classic card Game now,Games,Zithromia Games,4.53623,0
668,668,a2846,b62,Addition Flash Card Match Game,Casual,Eggroll Games,4.2,Hearts DeLuxe Free. Play the Classic card Game now,Games,Zithromia Games,4.53623,0
672,672,a993,b62,Build and Play 3D - The Sequel,Casual,Croco Studio Games,4.5,Hearts DeLuxe Free. Play the Classic card Game now,Games,Zithromia Games,4.53623,0
673,673,a1114,b62,Peekaboo Kids - Free Kids Game,Education,Tappy Happy kids apps & games for kids,3.8,Hearts DeLuxe Free. Play the Classic card Game now,Games,Zithromia Games,4.53623,0
707,707,a2322,b66,Threes! Free,Puzzle,Sirvo llc,4.2,Threes! Free,Card,Sirvo LLC,3.84068,1
759,759,a25,b86,Wordox The Word Snatcher,Word,IsCool Entertainment,4.3,Wordox The Word Snatcher,Entertainment,IsCool Entertainment,3321 Ratings,1
791,791,a1726,b90,2048 Number puzzle game,Puzzle,Estoty Entertainment LLC,4.4,"2048 Number Puzzle game + Best 2048 app with unlimited undo feature, 5x5 mode, time survival mode plus #1 multiplayer",Board,Estoty,4.25509,0
930,930,a3648,b112,Popping Wrap Game Free,Simulation,DPoisn LLC,2.8,Doodle With Buddies : Fun Social Multi-player Drawing and Guessing Free Addicting Game to Play Family and Friends,Board,"RoboNacho Systems, LLC",3.36095,0
1005,1005,a1126,b113,Pooza - FREE Puzzles for Kids,Education,ImagiRation LLC,4.5,"Hammer Fruit - Free Smash Kids Game for iPhone, iPad and iPod touch",Arcade,"T-bone, LLC",3.77295,0
1006,1006,a1129,b113,Kids doodle games for toddlers,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.2,"Hammer Fruit - Free Smash Kids Game for iPhone, iPad and iPod touch",Arcade,"T-bone, LLC",3.77295,0
1009,1009,a1133,b113,Coloring book for kids,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.2,"Hammer Fruit - Free Smash Kids Game for iPhone, iPad and iPod touch",Arcade,"T-bone, LLC",3.77295,0
1014,1014,a3214,b113,Gus Learns Spanish for Kids,Education,"toojuice, LLC",4.7,"Hammer Fruit - Free Smash Kids Game for iPhone, iPad and iPod touch",Arcade,"T-bone, LLC",3.77295,0
1033,1033,a3648,b113,Popping Wrap Game Free,Simulation,DPoisn LLC,2.8,"Hammer Fruit - Free Smash Kids Game for iPhone, iPad and iPod touch",Arcade,"T-bone, LLC",3.77295,0
1051,1051,a3622,b113,Shapes and Colors for babies,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.5,"Hammer Fruit - Free Smash Kids Game for iPhone, iPad and iPod touch",Arcade,"T-bone, LLC",3.77295,0
1053,1053,a3625,b113,Baby puzzles & games for kids,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.6,"Hammer Fruit - Free Smash Kids Game for iPhone, iPad and iPod touch",Arcade,"T-bone, LLC",3.77295,0
1120,1120,a2822,b115,Mahjong Epic,Board,Kristanix Games,4.5,Mahjong Epic,Games,Kristanix Games,4.67619,1
1156,1156,a173,b124,Guild of Heroes - fantasy RPG,Role Playing,Play Today LTD,4.4,Heroes of Camelot,Card,Gaea Mobile Ltd,4.4,0
1158,1158,a709,b124,Kingdoms of Camelot: Battle,Strategy,Gaea Mobile Limited,4,Heroes of Camelot,Card,Gaea Mobile Ltd,4.4,0
1160,1160,a209,b124,Heroes of Camelot,Role Playing,Gaea Mobile Limited,4.3,Heroes of Camelot,Card,Gaea Mobile Ltd,4.4,1
1220,1220,a615,b131,Solitaire TriPeaks,Card,"GSN Games, Inc.",4.4,Magic Towers Solitaire (Tri-Peaks),Family,Glowing Eye Games Ltd,4.55556,0
1300,1300,a1722,b136,Flow Free: Bridges,Puzzle,Big Duck Games LLC,4.3,Flow Free: Bridges,Entertainment,Big Duck Games LLC,4.66455,1
1301,1301,a1729,b136,Flow Free: Hexes,Puzzle,Big Duck Games LLC,4.6,Flow Free: Bridges,Entertainment,Big Duck Games LLC,4.66455,0
1302,1302,a306,b136,Flow Free,Puzzle,Big Duck Games LLC,4.3,Flow Free: Bridges,Entertainment,Big Duck Games LLC,4.66455,0
1304,1304,a871,b138,Defenders: TD Origins,Strategy,Nival,4.3,Defenders: Tower Defense Origins,Card,"NIVAL, INC.",4.41176,0
1309,1309,a1862,b142,Unblock Me FREE,Puzzle,"Kiragames Co., Ltd.",4.3,Unblock Me,Entertainment,"Kiragames Co., Ltd.",4.76667,0
1310,1310,a3524,b142,Unblock Me,Puzzle,"Kiragames Co., Ltd.",4.5,Unblock Me,Entertainment,"Kiragames Co., Ltd.",4.76667,1
1442,1442,a1722,b147,Flow Free: Bridges,Puzzle,Big Duck Games LLC,4.3,Flow Free: Hexes,Entertainment,Big Duck Games LLC,4.70858,0
1443,1443,a1729,b147,Flow Free: Hexes,Puzzle,Big Duck Games LLC,4.6,Flow Free: Hexes,Entertainment,Big Duck Games LLC,4.70858,1
1444,1444,a306,b147,Flow Free,Puzzle,Big Duck Games LLC,4.3,Flow Free: Hexes,Entertainment,Big Duck Games LLC,4.70858,0
1473,1473,a1426,b151,Rival Stars Basketball,Sports,PIKPOK,4.5,Rival Stars College Football,Sports,PikPok,3.875,0
1483,1483,a614,b152,Gin Rummy Free,Card,AI Factory Limited,4.3,Gin Rummy Deluxe - The Best Classic Card Game,Entertainment,Speakati Limited,4.67856,0
1485,1485,a622,b152,Gin Rummy,Card,AI Factory Limited,4.2,Gin Rummy Deluxe - The Best Classic Card Game,Entertainment,Speakati Limited,4.67856,0
1490,1490,a2769,b152,Solitaire classic card game,Card,Brilliant Labs Limited,4.3,Gin Rummy Deluxe - The Best Classic Card Game,Entertainment,Speakati Limited,4.67856,0
1578,1578,a10,b164,Belote.com - Free Belote Game,Card,GameDuell,3.7,Grand Gin Rummy - Multiplayer Card Game for Free,Entertainment,GameDuell GmbH,3.56,0
1657,1657,a2669,b169,Jackpot Party Casino Slots 777,Casino,Scientific Games Interactive,4.4,Casino Party Live,Games,Big Kick Games,2.25,0
1659,1659,a2694,b170,Praia Bingo + VideoBingo Free,Casino,Pipa Games,4.3,Praia Bingo + VideoBingo FREE,Casino,Pipa Studios,241 Ratings,1
1691,1691,a321,b176,Logic Games for Kids 6-9 Free,Educational,Irina Marina,4.3,Memory matches brain trainer matching preschool toddler childrens educational training and match learning games for kids boys and girls for free,Education,Irina Schens,3.84896,0
1710,1710,a474,b176,Polar Bear Cub Free for kids,Educational,Irina Marina,4.2,Memory matches brain trainer matching preschool toddler childrens educational training and match learning games for kids boys and girls for free,Education,Irina Schens,3.84896,0
1801,1801,a3361,b176,Hedgehog's Adventures for kids,Educational,Irina Marina,4.3,Memory matches brain trainer matching preschool toddler childrens educational training and match learning games for kids boys and girls for free,Education,Irina Schens,3.84896,0
1886,1886,a2307,b178,WORLD FASHION TRIP - GIRL GAME,Casual,Girl Games - Vasco Games,3.8,Lux Touch - risk of world war game,Games,Sillysoft Games,4.17722,0
1887,1887,a2525,b178,Zombie World War,Arcade,FT Games,4.1,Lux Touch - risk of world war game,Games,Sillysoft Games,4.17722,0
1888,1888,a537,b178,Game of Thrones,Adventure,Telltale Games,4.3,Lux Touch - risk of world war game,Games,Sillysoft Games,4.17722,0
1889,1889,a2593,b178,Age of War,Strategy,Max Games Studios,4.3,Lux Touch - risk of world war game,Games,Sillysoft Games,4.17722,0
1898,1898,a852,b178,Empire War: Age of hero,Strategy,FT Games,4.3,Lux Touch - risk of world war game,Games,Sillysoft Games,4.17722,0
1904,1904,a1839,b178,Gems of War - Match 3 RPG,Puzzle,505 Games Srl,4.2,Lux Touch - risk of world war game,Games,Sillysoft Games,4.17722,0
1906,1906,a2015,b178,World of Dragons: Simulator,Simulation,Gluten Free Games,4.1,Lux Touch - risk of world war game,Games,Sillysoft Games,4.17722,0
1979,1979,a321,b186,Logic Games for Kids 6-9 Free,Educational,Irina Marina,4.3,Cat Kitten Kitty Pet Baby Animal JIgsaw Puzzle Games for Girls who love educational memory learning puzzles for kids and toddlers,Education,Irina Schens,4.53083,0
1998,1998,a474,b186,Polar Bear Cub Free for kids,Educational,Irina Marina,4.2,Cat Kitten Kitty Pet Baby Animal JIgsaw Puzzle Games for Girls who love educational memory learning puzzles for kids and toddlers,Education,Irina Schens,4.53083,0
2087,2087,a3361,b186,Hedgehog's Adventures for kids,Educational,Irina Marina,4.3,Cat Kitten Kitty Pet Baby Animal JIgsaw Puzzle Games for Girls who love educational memory learning puzzles for kids and toddlers,Education,Irina Schens,4.53083,0
2163,2163,a2676,b194,Fresh Deck Poker - Live Holdem,Casino,"GSN Games, Inc.",4.3,Tournament Poker Coach Texas Holdem,Casino,"Gamoz, Inc",958 Ratings,0
2223,2223,a1537,b199,Guess The Song - Music Quiz,Trivia,S Quiz It!,4.2,Guess The Person? HD FREE,Board,R.W BUCKINGHAM &amp; S FINOULST,4,0
2229,2229,a126,b200,PowerVocab Word Game,Educational,Trymph Inc.,3.9,Word Chums - The Exclusive Crossword Puzzle Game,Board,"PeopleFun, Inc.",4.87101,0
2232,2232,a184,b200,Word Chums,Word,PeopleFun,4.8,Word Chums - The Exclusive Crossword Puzzle Game,Board,"PeopleFun, Inc.",4.87101,0
2248,2248,a1299,b200,Jurassic World\u2122: The Game,Simulation,Ludia Inc.,4.1,Word Chums - The Exclusive Crossword Puzzle Game,Board,"PeopleFun, Inc.",4.87101,0
2263,2263,a1840,b200,Bubble Hunt - puzzle game,Puzzle,Cross Field Inc.,3.8,Word Chums - The Exclusive Crossword Puzzle Game,Board,"PeopleFun, Inc.",4.87101,0
2270,2270,a94,b201,Bike Race Free Motorcycle Game,Racing,Top Free Games.,4.5,Spades Free! Play the Classic Card Game for Free,Games,Shozila Games,4.21052,0
2278,2278,a2455,b201,Sniper Shooter Free - Fun Game,Action,Fun Games For Free,4.5,Spades Free! Play the Classic Card Game for Free,Games,Shozila Games,4.21052,0
2282,2282,a2506,b201,Princess memory game for kids,Board,Owlet games for kids,3.8,Spades Free! Play the Classic Card Game for Free,Games,Shozila Games,4.21052,0
2286,2286,a498,b201,Zsirozas - Fat card game,Card,Saj\u00f3 Games,4.2,Spades Free! Play the Classic Card Game for Free,Games,Shozila Games,4.21052,0
2291,2291,a588,b201,Hearts Card Game FREE,Card,Breakout Games,4.3,Spades Free! Play the Classic Card Game for Free,Games,Shozila Games,4.21052,0
2299,2299,a2826,b201,Shelter: A Survival Card Game,Board,Survivalist Games,4.2,Spades Free! Play the Classic Card Game for Free,Games,Shozila Games,4.21052,0
2302,2302,a793,b201,Battle for the Galaxy,Strategy,AMT Games,4.2,Spades Free! Play the Classic Card Game for Free,Games,Shozila Games,4.21052,0
2304,2304,a2846,b201,Addition Flash Card Match Game,Casual,Eggroll Games,4.2,Spades Free! Play the Classic Card Game for Free,Games,Shozila Games,4.21052,0
2308,2308,a993,b201,Build and Play 3D - The Sequel,Casual,Croco Studio Games,4.5,Spades Free! Play the Classic Card Game for Free,Games,Shozila Games,4.21052,0
2311,2311,a1114,b201,Peekaboo Kids - Free Kids Game,Education,Tappy Happy kids apps & games for kids,3.8,Spades Free! Play the Classic Card Game for Free,Games,Shozila Games,4.21052,0
2316,2316,a3260,b201,Trip to the zoo for kids,Educational,Kids Games Projects,4.4,Spades Free! Play the Classic Card Game for Free,Games,Shozila Games,4.21052,0
2392,2392,a3597,b204,Jigsaw Puzzle Games for Kids,Educational,KidZone Studios,4.3,"Descrambler - unofficial word game solver for SCRABBLE, Words with Friends and Wordfeud crossword games",Board,PBJ Studios,4.4966,0
2400,2400,a2651,b207,Governor of Poker 3 HOLDEM,Card,Youda Games Holding B.V.,4.5,Governor of Poker LITE,Entertainment,Youda Games Holding B.V.,4.29411,0
2402,2402,a668,b207,Governor of Poker 2 - OFFLINE,Card,Youda Games Holding B.V.,4.3,Governor of Poker LITE,Entertainment,Youda Games Holding B.V.,4.29411,0
2415,2415,a2689,b211,Lucky Win Casino\u2122- FREE SLOTS,Casino,ZENTERTAIN LTD,4.3,Best Casino Slots - Free Fun Vegas Slot Machines!,Casino,diwip ltd,4.53571,0
2427,2427,a2741,b211,Scatter Slots: Free Fun Casino,Casino,Murka Ltd.,4.6,Best Casino Slots - Free Fun Vegas Slot Machines!,Casino,diwip ltd,4.53571,0
2475,2475,a1864,b216,Jigsaw Puzzles Epic,Puzzle,Kristanix Games,4.5,Jigsaw Puzzles Epic,Games,Kristanix Games,4.6048,1
2531,2531,a1126,b226,Pooza - FREE Puzzles for Kids,Education,ImagiRation LLC,4.5,TanZen Free - Relaxing tangram puzzles,Puzzle,"Little White Bear Studios, LLC",4.64062,0
2535,2535,a745,b227,RISK: Global Domination,Strategy,SMG Studio,4.1,RISK: Global Domination,Strategy,SMG Studio,3.73333,1
